split,task_type,id,issue,detail
train,nearest_category,b3535f5aae6c7234,duplicate_candidate_names,
train,nearest_category,b3535f5aae6c7234,same_name_multiple_coordinates,
train,nearest_category,0a089e9ae7fed0f1,duplicate_candidate_names,
train,nearest_category,0a089e9ae7fed0f1,same_name_multiple_coordinates,
train,nearest_category,1aeae56773067116,duplicate_candidate_names,
train,nearest_category,1aeae56773067116,same_name_multiple_coordinates,
train,nearest_category,a5747250accd054e,duplicate_candidate_names,
train,nearest_category,a5747250accd054e,same_name_multiple_coordinates,
train,nearest_category,7395ada6311b8c4a,duplicate_candidate_names,
train,nearest_category,7395ada6311b8c4a,same_name_multiple_coordinates,
train,nearest_category,35904dbabe3e19e4,duplicate_candidate_names,
train,nearest_category,35904dbabe3e19e4,same_name_multiple_coordinates,
train,nearest_category,970c68ff14764c82,duplicate_candidate_names,
train,nearest_category,970c68ff14764c82,same_name_multiple_coordinates,
train,nearest_category,65c8667b70c820f8,duplicate_candidate_names,
train,nearest_category,65c8667b70c820f8,same_name_multiple_coordinates,
train,nearest_category,82665fe7d2633da3,duplicate_candidate_names,
train,nearest_category,82665fe7d2633da3,same_name_multiple_coordinates,
train,nearest_category,4b56d5a9757f3bfe,duplicate_candidate_names,
train,nearest_category,4b56d5a9757f3bfe,same_name_multiple_coordinates,
train,nearest_category,6c7cf4b34c22d498,duplicate_candidate_names,
train,nearest_category,6c7cf4b34c22d498,same_name_multiple_coordinates,
train,nearest_category,ddd5d15906aed5fc,duplicate_candidate_names,
train,nearest_category,ddd5d15906aed5fc,same_name_multiple_coordinates,
train,nearest_category,0370acd1e1b123d2,duplicate_candidate_names,
train,nearest_category,0370acd1e1b123d2,same_name_multiple_coordinates,
train,nearest_category,988fdec10c81d482,duplicate_candidate_names,
train,nearest_category,988fdec10c81d482,same_name_multiple_coordinates,
train,nearest_category,09ae3b52fb0dbd4b,duplicate_candidate_names,
train,nearest_category,09ae3b52fb0dbd4b,same_name_multiple_coordinates,
train,nearest_category,331a9ce9775a0071,duplicate_candidate_names,
train,nearest_category,331a9ce9775a0071,same_name_multiple_coordinates,
train,nearest_category,1004f7b6b916bbe8,duplicate_candidate_names,
train,nearest_category,1004f7b6b916bbe8,same_name_multiple_coordinates,
train,nearest_category,223197058f97ab80,duplicate_candidate_names,
train,nearest_category,223197058f97ab80,same_name_multiple_coordinates,
train,nearest_category,b4f1af1d81a0ff80,duplicate_candidate_names,
train,nearest_category,b4f1af1d81a0ff80,same_name_multiple_coordinates,
train,nearest_category,e8c1c8f338bb1f15,duplicate_candidate_names,
train,nearest_category,e8c1c8f338bb1f15,same_name_multiple_coordinates,
train,nearest_category,f2bb660035a3b381,duplicate_candidate_names,
train,nearest_category,f2bb660035a3b381,same_name_multiple_coordinates,
train,nearest_category,d631ca6f63264906,duplicate_candidate_names,
train,nearest_category,d631ca6f63264906,same_name_multiple_coordinates,
train,nearest_category,ee2a319faee25b6c,duplicate_candidate_names,
train,nearest_category,ee2a319faee25b6c,same_name_multiple_coordinates,
train,nearest_category,ddc5e26a62f3539b,duplicate_candidate_names,
train,nearest_category,ddc5e26a62f3539b,same_name_multiple_coordinates,
train,nearest_category,f1f9793835831c23,duplicate_candidate_names,
train,nearest_category,f1f9793835831c23,same_name_multiple_coordinates,
train,nearest_category,4fcb7c68ae6f765a,duplicate_candidate_names,
train,nearest_category,4fcb7c68ae6f765a,same_name_multiple_coordinates,
train,nearest_category,88e320a34fdf07dd,candidate_name_edge_whitespace,
train,nearest_category,88e320a34fdf07dd,duplicate_candidate_names,
train,nearest_category,88e320a34fdf07dd,same_name_multiple_coordinates,
train,nearest_category,e836e2b99baf2fd7,candidate_name_edge_whitespace,
train,nearest_category,e836e2b99baf2fd7,duplicate_candidate_names,
train,nearest_category,e836e2b99baf2fd7,same_name_multiple_coordinates,
train,nearest_category,61b793055b1485d0,candidate_name_edge_whitespace,
train,nearest_category,61b793055b1485d0,duplicate_candidate_names,
train,nearest_category,61b793055b1485d0,same_name_multiple_coordinates,
train,nearest_category,5c363c25d188cf14,candidate_name_edge_whitespace,
train,nearest_category,5c363c25d188cf14,duplicate_candidate_names,
train,nearest_category,5c363c25d188cf14,same_name_multiple_coordinates,
train,nearest_category,643f94c592257754,candidate_name_edge_whitespace,
train,nearest_category,643f94c592257754,duplicate_candidate_names,
train,nearest_category,643f94c592257754,same_name_multiple_coordinates,
train,nearest_category,4ce86f0b0f5cb94f,candidate_name_edge_whitespace,
train,nearest_category,4ce86f0b0f5cb94f,duplicate_candidate_names,
train,nearest_category,4ce86f0b0f5cb94f,same_name_multiple_coordinates,
train,nearest_category,c0c5859307311b4e,candidate_name_edge_whitespace,
train,nearest_category,c0c5859307311b4e,duplicate_candidate_names,
train,nearest_category,c0c5859307311b4e,same_name_multiple_coordinates,
train,nearest_category,c0c5859307311b4e,answer_edge_whitespace,
train,nearest_category,e5e5453f0ad5bd2a,candidate_name_edge_whitespace,
train,nearest_category,e5e5453f0ad5bd2a,duplicate_candidate_names,
train,nearest_category,e5e5453f0ad5bd2a,same_name_multiple_coordinates,
train,nearest_category,e5e5453f0ad5bd2a,repeated_name_gold_answer,مصرف الراجحي
train,nearest_category,92af6784536c56a5,candidate_name_edge_whitespace,
train,nearest_category,92af6784536c56a5,duplicate_candidate_names,
train,nearest_category,92af6784536c56a5,same_name_multiple_coordinates,
train,nearest_category,0318c55cff753bce,duplicate_candidate_names,
train,nearest_category,0318c55cff753bce,same_name_multiple_coordinates,
train,nearest_category,26697e77ab1cd478,duplicate_candidate_names,
train,nearest_category,26697e77ab1cd478,same_name_multiple_coordinates,
train,nearest_category,75214e5b35cd82ee,duplicate_candidate_names,
train,nearest_category,75214e5b35cd82ee,same_name_multiple_coordinates,
train,nearest_category,75214e5b35cd82ee,repeated_name_gold_answer,صيدلية النهدي
train,nearest_category,bcb6589d5bb44b75,duplicate_candidate_names,
train,nearest_category,bcb6589d5bb44b75,same_name_multiple_coordinates,
train,nearest_category,87b601c91a8f2020,duplicate_candidate_names,
train,nearest_category,87b601c91a8f2020,same_name_multiple_coordinates,
train,nearest_category,a74848f6e5c469fb,duplicate_candidate_names,
train,nearest_category,a74848f6e5c469fb,same_name_multiple_coordinates,
train,nearest_category,b0e5f77518bfefe9,duplicate_candidate_names,
train,nearest_category,b0e5f77518bfefe9,same_name_multiple_coordinates,
train,nearest_category,83758c5308746ede,duplicate_candidate_names,
train,nearest_category,83758c5308746ede,same_name_multiple_coordinates,
train,nearest_category,83758c5308746ede,repeated_name_gold_answer,البنك العربي الوطني
train,nearest_category,95c36a2359f2ee79,duplicate_candidate_names,
train,nearest_category,95c36a2359f2ee79,same_name_multiple_coordinates,
train,nearest_category,b15d41b3526e3b26,duplicate_candidate_names,
train,nearest_category,b15d41b3526e3b26,same_name_multiple_coordinates,
train,nearest_category,e00040ac149b71e9,duplicate_candidate_names,
train,nearest_category,e00040ac149b71e9,same_name_multiple_coordinates,
train,nearest_category,e00040ac149b71e9,repeated_name_gold_answer,مركز الرعاية الصحية الأولية
train,nearest_category,263be55b83a09c1b,duplicate_candidate_names,
train,nearest_category,263be55b83a09c1b,same_name_multiple_coordinates,
train,nearest_category,4c827f3dbba9392c,duplicate_candidate_names,
train,nearest_category,4c827f3dbba9392c,same_name_multiple_coordinates,
train,nearest_category,2c21dd6163323cc8,duplicate_candidate_names,
train,nearest_category,2c21dd6163323cc8,same_name_multiple_coordinates,
train,nearest_category,fd300df6e09353c6,duplicate_candidate_names,
train,nearest_category,fd300df6e09353c6,same_name_multiple_coordinates,
train,nearest_category,f2e42627cd1ef9fc,duplicate_candidate_names,
train,nearest_category,f2e42627cd1ef9fc,same_name_multiple_coordinates,
train,nearest_category,1211497881bbc11f,duplicate_candidate_names,
train,nearest_category,1211497881bbc11f,same_name_multiple_coordinates,
train,nearest_category,2e618c352764c72e,duplicate_candidate_names,
train,nearest_category,2e618c352764c72e,same_name_multiple_coordinates,
train,nearest_category,2e618c352764c72e,repeated_name_gold_answer,صيدلية النهدي
train,nearest_category,e80ca777fed8dc76,duplicate_candidate_names,
train,nearest_category,e80ca777fed8dc76,same_name_multiple_coordinates,
train,nearest_category,1cacba698d6b10e2,duplicate_candidate_names,
train,nearest_category,1cacba698d6b10e2,same_name_multiple_coordinates,
train,nearest_category,3071d905b221dcdb,duplicate_candidate_names,
train,nearest_category,3071d905b221dcdb,same_name_multiple_coordinates,
train,nearest_category,1d81b56074b140ca,duplicate_candidate_names,
train,nearest_category,1d81b56074b140ca,same_name_multiple_coordinates,
train,nearest_category,cccede4a49bc9f49,duplicate_candidate_names,
